                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                  1.676,                 1.4558,                 1.6673,                0.01656,                0.49296,                0.01577,                0.00765,                 2.6348,                 47.395,                 9.8351,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.7375,                  1.441,                 1.7171,                0.65249,                0.61972,                0.67012,                0.28188,                 2.0025,                 1.6786,                 2.1028,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.7154,                 1.5105,                 1.7795,                0.65249,                0.61972,                0.67012,                0.28188,                 2.0025,                 1.6786,                 2.1028,               0.001208,               0.001208,               0.001208
                     63,                 1.7152,                 1.4644,                 1.7662,                0.67676,                0.70775,                0.72915,                 0.2958,                 1.8991,                 1.5319,                 2.0248,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.6598,                 1.4819,                 1.7533,                0.67676,                0.70775,                0.72915,                 0.2958,                 1.8991,                 1.5319,                 2.0248,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.5928,                 1.4058,                 1.6989,                0.75365,                0.73239,                0.77419,                0.37777,                 1.7119,                 1.5323,                  1.896,              0.0011684,              0.0011684,              0.0011684
                     66,                 1.5989,                 1.3448,                 1.6764,                0.75365,                0.73239,                0.77419,                0.37777,                 1.7119,                 1.5323,                  1.896,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.7153,                 1.3673,                 1.7017,                0.75365,                0.73239,                0.77419,                0.37777,                 1.7119,                 1.5323,                  1.896,               0.001142,               0.001142,               0.001142
                     68,                 1.8117,                 1.4181,                 1.9052,                0.69403,                0.63902,                0.72489,                0.33086,                 1.7667,                 1.5276,                 1.9335,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.7239,                 1.2855,                 1.6172,                0.69403,                0.63902,                0.72489,                0.33086,                 1.7667,                 1.5276,                 1.9335,              0.0011156,              0.0011156,              0.0011156
