                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0962,                 1.1188,                 1.1919,                0.72359,                0.82941,                0.84747,                0.59899,                 1.0185,                0.99098,                 1.1819,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.1482,                  1.111,                 1.1987,                0.72446,                0.85063,                0.85906,                0.60694,                 1.0147,                0.97049,                 1.1793,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.1027,                 1.0373,                  1.151,                0.72446,                0.85063,                0.85906,                0.60694,                 1.0147,                0.97049,                 1.1793,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.1372,                 1.1082,                 1.1868,                0.75254,                0.83529,                0.86269,                 0.6083,                 1.0021,                0.94676,                 1.1701,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.1489,                 1.0867,                 1.1675,                0.75254,                0.83529,                0.86269,                 0.6083,                 1.0021,                0.94676,                 1.1701,                0.00134,                0.00134,                0.00134
                     53,                 1.1416,                 1.1196,                 1.2057,                0.74525,                0.84323,                0.85984,                0.60818,                0.99548,                0.95551,                 1.1665,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.1395,                 1.1068,                 1.2054,                0.74525,                0.84323,                0.85984,                0.60818,                0.99548,                0.95551,                 1.1665,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.1099,                 1.0823,                 1.2036,                0.76427,                0.81765,                0.86454,                0.61649,                0.98739,                0.94314,                 1.1632,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.0759,                 1.0436,                 1.1993,                0.71495,                0.88523,                0.86444,                0.60534,                 1.0191,                0.92966,                 1.1823,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.1166,                 1.0846,                 1.2267,                0.71495,                0.88523,                0.86444,                0.60534,                 1.0191,                0.92966,                 1.1823,               0.001274,               0.001274,               0.001274
                     58,                 1.1414,                 1.0388,                 1.2021,                0.71547,                0.85294,                0.86955,                0.60909,                 1.0198,                 0.9141,                 1.1837,              0.0012608,              0.0012608,              0.0012608
                     59,                  1.072,                 1.0216,                 1.1741,                0.71547,                0.85294,                0.86955,                0.60909,                 1.0198,                 0.9141,                 1.1837,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.1119,                 1.0435,                  1.187,                0.71155,                0.85294,                 0.8684,                0.61589,                 1.0058,                0.90224,                 1.1789,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.0293,                0.99114,                 1.1445,                0.71155,                0.85294,                 0.8684,                0.61589,                 1.0058,                0.90224,                 1.1789,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.0994,                0.99714,                 1.1454,                0.71181,                0.81361,                0.86465,                0.60199,                 1.0069,                0.93045,                 1.1734,               0.001208,               0.001208,               0.001208
